firstname,lastname,email,application_date,country,yoe,seniority,technology,code_challenge_score,technical_interview_score
Larue,Spinka,okey_schultz41@gmail.com,2020-04-14,Belarus,4,Mid-Level,Client Success,10,9
Larue,Altenwerth,minnie.gislason@gmail.com,2020-05-20,Myanmar,13,Mid-Level,Social Media Community Management,9,7
Mose,Lakin,dale_murazik@hotmail.com,2018-03-13,Italy,18,Lead,Social Media Community Management,7,10
Hilda,Rodriguez,jordan.hyatt@hotmail.com,2020-05-09,El Salvador,16,Junior,System Administration,7,8
Crawford,Ullrich,bruce.koch7@yahoo.com,2021-01-09,Dominica,14,Junior,Game Development,8,8
Dorian,Zboncak,kyleigh55@yahoo.com,2020-01-26,Japan,5,Lead,Design,8,10
Tierra,Romaguera,pete.reichel@yahoo.com,2018-08-21,Panama,9,Senior,Adobe Experience Manager,8,8
Davonte,Stamm,emerson.grady99@yahoo.com,2021-04-09,Yemen,11,Junior,DevOps,7,8
Delta,Little,marcos_erdman@yahoo.com,2020-09-23,Wallis and Futuna,30,Junior,DevOps,8,7
Brian,Wehner,richie.schaefer@gmail.com,2022-02-27,Puerto Rico,18,Senior,Security,10,10
Korey,Hansen,norwood67@hotmail.com,2018-10-26,Bulgaria,19,Trainee,Business Analytics / Project Management,10,7
Trisha,Larkin,alberta28@yahoo.com,2021-01-24,Republic of Korea,30,Lead,Security Compliance,9,8
Macey,Bogan,hilario_purdy@yahoo.com,2022-06-17,Estonia,7,Junior,Business Intelligence,7,9
Ethel,Hickle,phyllis_hayes98@yahoo.com,2018-04-27,Nauru,10,Intern,System Administration,7,7
Michele,Bernier,madyson.raynor@gmail.com,2021-01-27,Antarctica (the territory South of 60 deg S),11,Trainee,Security,10,10
Amy,Sporer,lera75@yahoo.com,2018-07-18,Cayman Islands,2,Trainee,Security,8,10
Stacy,McKenzie,catharine.greenholt@hotmail.com,2022-02-11,Seychelles,3,Architect,Development - CMS Frontend,10,10
Micheal,Feil,jovany_luettgen44@hotmail.com,2021-11-23,Estonia,1,Intern,Social Media Community Management,10,8
Laura,Bergstrom,taylor52@gmail.com,2018-12-19,Austria,25,Lead,Salesforce,7,9
Frankie,Walter,heloise11@gmail.com,2020-05-23,United Kingdom,12,Intern,Development - Frontend,9,10
Tianna,Yundt,yoshiko_heidenreich@gmail.com,2022-02-27,Bhutan,24,Junior,Technical Writing,8,10
